AB,AF,AR,AU,BP,C1,C3,CA,CL,CT,CY,DA,DE,DI,DT,EA,EI,EM,EP,FN,FU,FX,GA,ID,IS,J9,JI,LA,MA,NR,OA,OI,PA,PD,PG,PI,PM,PN,PT,PU,PY,RI,RP,SC,SI,SN,SO,SP,SU,TC,TI,U1,U2,UT,VL,VR,WC,WE,Z9
,"Zhai, Xiaoming Neumann, Knut Krajcik, Joseph",1183030,"Zhai, XM Neumann, K Krajcik, J",,"[Zhai, Xiaoming] Univ Georgia, AI STEM Educ Ctr, Dept Math Sci & Social Studies Educ, Athens, GA 30602 USA. [Neumann, Knut] Leibniz Inst Sci & Math Educ, Dept Phys Educ, Kiel, Germany. [Krajcik, Joseph] Michigan State Univ, CREATE STEM Inst, E Lansing, MI USA.",University System of Georgia; University of Georgia; Leibniz Association; Leibniz Institut fur die Padagogik der Naturwissenschaften und Mathematik an der Universitat Kiel (IPN); Michigan State University,,,,,2025-01-19,artificial intelligence (AI); science technology engineering mathematics (STEM); machine learning (ML); natural language processing; computer vision; scientific practices,10.3389/feduc.2023.1183030,Editorial Material,,2504-284X,xiaoming.zhai@uga.edu,,Clarivate Analytics Web of Science,"National Science Foundation [2101104, 2100964, 2138854]","Funding XZ and JK were funded by National Science Foundation Grants Award ID: 2101104, 2100964, and 2138854.",D4BA8,,,FRONT EDUC,Front. Educ.,English,,14,gold,"Zhai, Xiaoming/0000-0003-4519-1931","AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",MAR 28,3,LAUSANNE,,,J,FRONTIERS MEDIA SA,2023,"Zhai, Xiaoming/AAB-7129-2021","Zhai, XM (corresponding author), Univ Georgia, AI STEM Educ Ctr, Dept Math Sci & Social Studies Educ, Athens, GA 30602 USA.",Education & Educational Research,,,FRONTIERS IN EDUCATION,,,4,Editorial: AI for tackling STEM education challenges,12,33,WOS:000968187000001,8,1.0,Education & Educational Research,Emerging Sources Citation Index (ESCI),4
"Autistic adults (AA) have the highest unemployment rate relative to other groups, regardless of disability status. Systemic changes are needed to acquire and retain AA in science, technology, engineering, mathematics, and medicine (STEMM). Here, we discuss the unique challenges AA face in STEMM and possible solutions to overcome them.","Crabtree, Amber Caudel, Dave Pinette, Julia Vang, Chia Neikirk, Kit Kabugi, Kinuthia Zaganjor, Elma Hinton Jr, Antentor",109080,"Crabtree, A Caudel, D Pinette, J Vang, C Neikirk, K Kabugi, K Zaganjor, E Hinton, A Jr",,"[Crabtree, Amber; Pinette, Julia; Vang, Chia; Neikirk, Kit; Kabugi, Kinuthia; Zaganjor, Elma; Hinton Jr, Antentor] Vanderbilt Univ, Dept Mol Physiol & Biophys, Nashville, TN 37232 USA. [Crabtree, Amber; Caudel, Dave] Frist Ctr Autism & Innovat, Nashville, TN 37235 USA.",Vanderbilt University,,,,,2025-01-19,,10.1016/j.isci.2024.109080,Article,MAR 2024,2589-0042,,,,National Institutes of Health (NIH) NIDDK [DK007563]; NSF NRT [19-22697]; NSF BPE [22-17621]; UNCF/Bristol-Myers Squibb E.E. Just Faculty Fund; Career Award at the Scientific Interface from the Burroughs Welcome Fund (BWF) [1021868.01]; BWF Ad-hoc Award; NIH Small Research Pilot Subaward [5R25HL106365-12]; NIH PRIDE Program [DK020593]; Vanderbilt Diabetes and Research Training Center for Alzheimer's Disease Pilot & Feasibility Program; Science Diversity Leadership grant from the Chan Zuckerberg Initiative's donor-advised fund of the Silicon Valley Community Foundation [2022-253529],"This work was supported by the National Institutes of Health (NIH) NIDDK T32 award (number DK007563) entitled Multidisciplinary Training in Molecular Endocrinology (A.C.) and NSF NRT grant 19-22697 and NSF BPE grant 22-17621 (K. Stassun, PI) (to A.C.) ; the UNCF/Bristol-Myers Squibb E.E. Just Faculty Fund; the Career Award at the Scientific Interface from the Burroughs Welcome Fund (BWF; ID #1021868.01) ; the BWF Ad-hoc Award; the NIH Small Research Pilot Subaward (5R25HL106365-12) ; the NIH PRIDE Program (DK020593) ; the Vanderbilt Diabetes and Research Training Center for Alzheimer's Disease Pilot & Feasibility Program; and a Science Diversity Leadership grant (number 2022-253529) from the Chan Zuckerberg Initiative's donor-advised fund of the Silicon Valley Community Foundation (A.H.J.) .",ON0V8,SPECTRUM DISORDERS; CHALLENGES,3,ISCIENCE,iScience,English,,15,"Green Published, gold","Hinton, Jr., Antentor/0000-0002-7730-952X","50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",MAR 15,8,CAMBRIDGE,38524371,,J,CELL PRESS,2024,,"Hinton, A Jr (corresponding author), Vanderbilt Univ, Dept Mol Physiol & Biophys, Nashville, TN 37232 USA.",Science & Technology - Other Topics,,,ISCIENCE,,,1,Recruiting and retaining autistic talent in STEMM,0,0,WOS:001207844800001,27,,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),1
"The rapid technological advances of Industry 4.0 require Science, Technology, Engineering, Mathematics (STEM) education to adapt and meet the needs of an increasingly digital workforce. However, institutions face significant obstacles in updating their lab spaces due to the significant investment of time and resources required. This article presents innovative approaches that aim to reconcile these conflicting goals. Flexible laboratory configuration approaches are described that can be implemented in diverse learning scenarios to optimize the sustainable use of resources in an educational context. The results suggest that, with strategic planning, adaptable STEM laboratory configurations are beneficial for education in the context of Industry 4.0. Industry 4.0 poses new challenges for universities and their STEM programs. In addition, a more sustainable use of laboratory equipment is desirable. Here, a flexible approach to STEM lab design is presented that allows labs to be implemented in highly diverse learning scenarios, from in-house labs to remote labs even to interdisciplinary projects. image","Aubel, Ines Krinke, Stefan Mende, Robert Dietrich, Andre Bertau, Martin Zeidler, Henning Zug, Sebastian",,"Aubel, I Krinke, S Mende, R Dietrich, A Bertau, M Zeidler, H Zug, S",1482,"[Aubel, Ines; Mende, Robert; Bertau, Martin] TU Bergakad Freiberg, Inst Chem Technol, Leipziger Str 29, D-09599 Freiberg, Germany. [Krinke, Stefan; Zeidler, Henning] TU Bergakad Freiberg, Inst Machine Elements, Design & Mfg, Professorship Addit Mfg, Agricolastr 1, D-09599 Freiberg, Germany. [Aubel, Ines; Dietrich, Andre; Zug, Sebastian] TU Bergakad Freiberg, Inst Comp Sci, Professorship Software Technol & Robot, Bernhard von Cotta Str 2, D-09599 Freiberg, Germany.",Technical University Freiberg; Technical University Freiberg; Technical University Freiberg,,,,,2025-01-19,Automation; Digital literacy; Interdisciplinary education; Remote laboratories; Soft skills,10.1002/cite.202300236,Article,SEP 2024,1522-2640,ines.aubel@tu-freiberg.de,1489,,"Stiftung Innovation in der Hochschule, Germany [FBM2020-VA-182-3-00390]; Projekt DEAL","This work is part of the project 'Flexibel kombinierbare Cross-Reality-Labore' in der Hochschullehre: Zukunftsfaehige Kompetenzentwicklung fur ein Lernen und Arbeiten 4.0 (CrossLab), which is funded by the Stiftung Innovation in der Hochschule, Germany [grant number: FBM2020-VA-182-3-00390].Open access funding enabled and organized by Projekt DEAL.",L0S9P,,11,CHEM-ING-TECH,Chem. Ing. Tech.,English,,25,hybrid,"Aubel, Ines Anita/0000-0002-7589-9634; Mende, Robert/0000-0002-3556-6077; Zeidler, Henning/0000-0003-0800-9678; Bertau, Martin/0000-0003-1236-1164","POSTFACH 101161, 69451 WEINHEIM, GERMANY",NOV,8,WEINHEIM,,,J,WILEY-V C H VERLAG GMBH,2024,"Bertau, Martin/AAD-9745-2021","Aubel, I (corresponding author), TU Bergakad Freiberg, Inst Chem Technol, Leipziger Str 29, D-09599 Freiberg, Germany.; Aubel, I (corresponding author), TU Bergakad Freiberg, Inst Comp Sci, Professorship Software Technol & Robot, Bernhard von Cotta Str 2, D-09599 Freiberg, Germany.",Engineering,SI,0009-286X,CHEMIE INGENIEUR TECHNIK,,,0,Industry 4.0-Driven STEM-Lab Modernization: Balancing Flexibility and Sustainability,3,3,WOS:001306094700001,96,,"Engineering, Chemical",Science Citation Index Expanded (SCI-EXPANDED),0
"In the continuously evolving educational landscape, the prediction of students' academic performance in STEM (Science, Technology, Engineering, Mathematics) disciplines stands as a paramount component for educational stakeholders aiming at enhancing learning methodologies and outcomes. This research paper delves into a sophisticated analysis, employing Machine Learning (ML) algorithms to predict students' achievements, focusing explicitly on the multifaceted realm of STEM education. By harnessing a robust dataset drawn from diverse educational backgrounds, incorporating myriad factors such as historical academic data, socioeconomic demographics, and individual learning interactions, the study innovates by transcending traditional prediction parameters. The research meticulously evaluates several machine learning models, juxtaposing their efficacies through rigorous methodologies, including Random Forest, Support Vector Machines, and Neural Networks, subsequently advocating for an ensemble approach to bolster prediction accuracy. Critical insights reveal that customized learning pathways, preemptive identification of at-risk candidates, and the nuanced understanding of contributing influencers are significantly enhanced through the ML framework, offering a transformative lens for academic strategies. Furthermore, the paper confronts the ethical quandaries and challenges of data privacy emerging in the wake of advanced analytics in education, proposing a holistic guideline for stakeholders. This exploration not only underscores the potential of machine learning in revolutionizing predictive strategies in STEM education but also advocates for continuous model optimization, embracing a symbiotic integration between pedagogical methodologies and technological advancements, thereby redefining the trajectories of educational paradigms.","Abdrakhmanov, Rustam Zhaxanova, Ainur Karatayeva, Malika Niyazova, Gulzhan Zholaushievna Berkimbayev, Kamalbek Tuimebayev, Assyl",,"Abdrakhmanov, R Zhaxanova, A Karatayeva, M Niyazova, GZ Berkimbayev, K Tuimebayev, A",38,"[Abdrakhmanov, Rustam] Int Univ Tourism & Hospitality, Turkistan, Kazakhstan. [Zhaxanova, Ainur] South Kazakhstan Univ, Shymkent, Kazakhstan. [Karatayeva, Malika] M Auezov South Kazakhstan Univ, Shymkent, Kazakhstan. [Niyazova, Gulzhan Zholaushievna; Berkimbayev, Kamalbek] Khoja Akhmet Yassawi Int Kazakh Turkish Univ, Turkistan, Kazakhstan. [Tuimebayev, Assyl] Boston Univ, Boston, MA USA.",M. Auezov South Kazakhstan State University; Akhmet Yassawi International Kazakh-Turkish University; Boston University,,,,,2025-01-19,Load balancing; machine learning; server; classification; software,,Article,,2156-5570,,46,,,,US9H9,BLOCKCHAIN; MANAGEMENT; NETWORKS; SDN,1,INT J ADV COMPUT SC,Int. J. Adv. Comput. Sci. Appl.,English,,50,,,"19 BOLLING RD, BRADFORD, WEST YORKSHIRE, 00000, ENGLAND",JAN,9,WEST YORKSHIRE,,,J,SCIENCE & INFORMATION SAI ORGANIZATION LTD,2024,"Berkimbayev, Kamalbek/GQY-5436-2022","Abdrakhmanov, R (corresponding author), Int Univ Tourism & Hospitality, Turkistan, Kazakhstan.",Computer Science,,2158-107X,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,0,Development of a Framework for Predicting Students' Academic Performance in STEM Education using Machine Learning Methods,3,3,WOS:001250160200005,15,,"Computer Science, Theory & Methods",Emerging Sources Citation Index (ESCI),0
"Science, Technology, Engineering, Mathematics (STEM) has been recognised by educators as an important educational objective in the 21st century. It provides a new vision of education by encouraging school teachers to engage students in problem-solving, critical-thinking and creative-thinking tasks using the knowledge and skills learned from multiple disciplines. While the effectiveness of STEM has been recognised by educators, the challenges of applying it to school settings have also been indicated, such as the difficulties in designing cross-disciplinary tasks and measuring students' learning performances. Mobile and ubiquitous technologies have been regarded as a potential facilitator which enables learners to learn across contexts with access to learning resources in anywhere and at any time. The use of these new technologies could provide new perspectives and opportunities for developing STEM activities and studies. This paper highlights the challenges as well as the strategies for implementing STEM activities in school settings and designing STEM research. It proposes several models for guiding researchers and schoolteachers to develop STEM learning design are proposed. In addition, it provides several strategies and measuring tools for developing in-depth experimental STEM studies.","Hwang, Gwo-Jen Li, Kam-Cheong Lai, Chiu-Lin",,"Hwang, GJ Li, KC Lai, CL",161,"[Hwang, Gwo-Jen] Natl Taiwan Univ Sci & Technol, Grad Inst Digital Learning & Educ, Taipei, Taiwan. [Li, Kam-Cheong] Open Univ Hong Kong, Inst Res Open & Innovat Educ, Hong Kong, Peoples R China. [Lai, Chiu-Lin] Natl Taipei Univ Educ, Dept Educ, Taipei, Taiwan.",National Taiwan University of Science & Technology; Hong Kong Metropolitan University; National Taipei University of Education,,,,,2025-01-19,STEM education; mobile learning; teaching strategies,10.1504/IJMLO.2020.106166,Article,,1746-7268,gjhwang.academic@gmail.com; kcli@ouhk.edu.hk; jolen761002@gmail.com,183,,"Ministry of Science and Technology of the Republic of China [MOST 106-2511-S-011-005-MY3, MOST 106-2511-S-224-004-MY3]",This study is supported in part by the Ministry of Science and Technology of the Republic of China under contract numbers MOST 106-2511-S-011-005-MY3 and MOST 106-2511-S-224-004-MY3.,6R9FU,,2,INT J MOB LEARN ORG,Int. J. Mob. Learn. Organ.,English,,10,,"Li, Kam Cheong/0000-0003-1928-3592","WORLD TRADE CENTER BLDG, 29 ROUTE DE PRE-BOIS, CASE POSTALE 856, CH-1215 GENEVA, SWITZERLAND",,23,GENEVA,,,J,INDERSCIENCE ENTERPRISES LTD,2020,"Hwang, Gwo-Jen/G-6454-2012; Li, Kam Cheong/K-5309-2012","Lai, CL (corresponding author), Natl Taipei Univ Educ, Dept Educ, Taipei, Taiwan.",Computer Science; Education & Educational Research,,1746-725X,INTERNATIONAL JOURNAL OF MOBILE LEARNING AND ORGANISATION,,,35,Trends and strategies for conducting effective STEM research and applications: a mobile and ubiquitous learning perspective,13,30,WOS:000892602900002,14,,"Computer Science, Interdisciplinary Applications; Education & Educational Research",Emerging Sources Citation Index (ESCI),36
"The current article provides an overview of a Teacher Professional Development (TPD) program that has been designed, pilot tested, and implemented to investigate the impact of augmented reality (AR) on: (a) Teachers' level of technology (AR) acceptance, adoption of inquiry-based instructional approaches, and confidence towards teaching twentieth-first century skills in STEM-related courses; and (b) students' potential enhancement of specific twentieth-first century skills and motivation and interest during a STEM- (science, technology, engineering, mathematics)-related course supported with AR. This article focuses on the teachers' points of view concerning the impact of their STEM-related interventions on their students' motivation and learning, as well as the factors that influence the teachers' technology acceptance. The TPD program has been implemented in Cyprus and Greece with twenty-five lower secondary school teachers (20 in Cyprus and 5 in Greece). The research methodology applied is Educational Design Research (EDR), including an initial phase of the TPD program and a second (improved) phase. The data collection tools consisted of questionnaires, interviews, and observation of classroom interventions. Initial findings and their implications for teaching and future research are discussed, indicating the potential benefits and challenges surrounding the integration of AR within the educational process.","Lasica, Ilona-Elefteryja Meletiou-Mavrotheris, Maria Katzis, Konstantinos",121,"Lasica, IE Meletiou-Mavrotheris, M Katzis, K",,"[Lasica, Ilona-Elefteryja; Meletiou-Mavrotheris, Maria] European Univ Cyprus, Dept Educ Sci, CY-1516 Nicosia, Cyprus. [Lasica, Ilona-Elefteryja; Meletiou-Mavrotheris, Maria; Katzis, Konstantinos] Ctr Excellence Risk & Decis Sci CERIDES, ICT Enhanced Educ Lab, CY-2404 Nicosia, Cyprus. [Katzis, Konstantinos] European Univ Cyprus, Comp Sci & Engn, CY-1516 Nicosia, Cyprus.",European University Cyprus; European University Cyprus,,,,,2025-01-19,augmented reality; teacher professional development; educational design research; STEM education,10.3390/educsci10040121,Article,,2227-7102,i.lasica@research.euc.ac.cy; M.Mavrotheris@euc.ac.cy; k.katzis@euc.ac.cy,,,EU [2017-1-CY01-KA201-026775],"This study is being funded by the EU, under the Erasmus+ Key Action 2 program [Enlivened Laboratories within STEM Education (EL-STEM)-Motivating EU students to choose STEM studies and careers and improving their performance in courses related to STEM education/Project No.2017-1-CY01-KA201-026775]. Any opinions, findings, and conclusions or recommendations presented in this paper are those of the authors and do not necessarily reflect those of the EU.",LO8QD,TECHNOLOGY; ACCEPTANCE; CHALLENGES,4,EDUC SCI,Educ. Sci.,English,,58,gold,"Katzis, Konstantinos/0000-0002-1470-2105; Lasica, Ilona-Elefteryja/0000-0001-6842-9901; Meletiou-Mavrotheris, Maria/0000-0001-6749-3266","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",APR,20,BASEL,,,J,MDPI,2020,"Katzis, Konstantinos/AAG-6093-2020; Lasica, Ilona-Elefteryja/LWH-7045-2024; Meletiou-Mavrotheris, Maria/E-4951-2011","Lasica, IE; Meletiou-Mavrotheris, M (corresponding author), European Univ Cyprus, Dept Educ Sci, CY-1516 Nicosia, Cyprus.; Lasica, IE; Meletiou-Mavrotheris, M (corresponding author), Ctr Excellence Risk & Decis Sci CERIDES, ICT Enhanced Educ Lab, CY-2404 Nicosia, Cyprus.",Education & Educational Research,,,EDUCATION SCIENCES,,,19,Augmented Reality in Lower Secondary Education: A Teacher Professional Development Program in Cyprus and Greece,3,41,WOS:000533889600007,10,,Education & Educational Research,Emerging Sources Citation Index (ESCI),24
"Advocacy of STEM curricular approaches is based on a concern to engage students in authentic disciplinary and interdisciplinary practices in the STEM (science, technology, engineering, mathematics) disciplines, and the need to promote participation in STEM pathways. The STEM Academy professional learning program was developed to support teachers to engage and motivate students by creating real-world, challenging problems. The initiative involved interdisciplinary teams of secondary STEM teachers attending workshops and working with university experts to design, implement and evaluate STEM curricular experiences. This paper focuses on case studies undertaken in two of the twelve schools involved in the initiative, using interview data from teachers and students, to explore the nature of their programs and their experiences. We investigate key features of these two schools' approaches, using a conceptual framework for integrated STEM, and explore the challenges and benefits of different features of integrated STEM that promote different dimensions of engagement in learning mathematics. We explore how the framework characteristics can be reframed into four dimensions that promote mathematics engagement in integrated STEM education - design thinking in authentic contexts, content integration, STEM practices and 21st Century skills, and exposure to professional practice.","Tytler, Russell Anderson, Judy Williams, Gaye",,"Tytler, R Anderson, J Williams, G",1299,"[Tytler, Russell] Deakin Univ, Geelong, Vic, Australia. [Anderson, Judy] Univ Sydney, Sydney Sch Educ & Social Work, Camperdown, NSW, Australia. [Williams, Gaye] Univ Melbourne, Grad Sch Educ, Melbourne, Vic, Australia.",Deakin University; University of Sydney; University of Melbourne,,,,,2025-01-19,Interdisciplinary mathematics curriculum; Integrated STEM curricula; Engagement with mathematics learning; Mathematics in STEM,10.1007/s11858-023-01519-x,Article,AUG 2023,1863-9704,Russell.tytler@deakin.edu.au,1313,,,,X9IP1,,7,ZDM-MATH EDUC,ZDM-Math. Educ.,English,,30,hybrid,"Tytler, Russell/0000-0003-0161-7240; Williams, Gaynor/0000-0002-4739-3564","TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",DEC,15,HEIDELBERG,,,J,SPRINGER HEIDELBERG,2023,,"Tytler, R (corresponding author), Deakin Univ, Geelong, Vic, Australia.",Education & Educational Research,SI,1863-9690,ZDM-MATHEMATICS EDUCATION,,,3,Exploring a framework for integrated STEM: challenges and benefits for promoting engagement in learning mathematics,6,19,WOS:001060136800001,55,,Education & Educational Research,Social Science Citation Index (SSCI),3
"The representation and success of women in Science, Technology, Engineering, Mathematics, and Medicine (STEMM) have sparked discussions, given their underrepresentation in these traditionally male-dominated fields. While women comprise 40% of STEMM undergraduates, senior-level positions see this figure drop below 20%. Research suggests that gender disparities in STEMM participation result from motivational differences, rather than competence. Exploring the reasons for these disparities are important as they can have significant consequences for the acknowledgement of women in STEMM, the maintenance of their STEMM discipline, and future careers. As such, this study explored how the experiences of 13 female undergraduates in Australian STEMM programs impacted their motivation and persistence in their degree. Through face-to-face semi-structured interviews, analysed via reflexive thematic analysis, five themes were constructed, encapsulating diverse experiences shaping female undergraduates in STEMM, influencing self-efficacy, determination, and well-being. Early exposure and environment were pivotal, acting as motivators or deterrents. Additionally, peer support was suggested as being crucial, fostering belongingness in the male-dominated space. Participants also grappled with recognition challenges, influenced by gender imbalances and a lack of role models. Intimidation was evident, leading to thoughts of dropping out, but passion drove persistence amid these challenges. The research increases awareness and understanding of the challenges faced by female undergraduates in STEMM, offering valuable insights for developing strategies to enhance their university experiences and promote success in future STEMM careers.","Phillips, Matthew James",74,"Phillips, MJ",,"[Phillips, Matthew James] Curtin Univ, Fac Hlth Sci, Sch Populat Hlth, Discipline Psychol, Bentley 6102, Australia.",Curtin University,,,,,2025-01-19,female; STEMM; undergraduate; motivations; persistence; gender; academia,10.3390/socsci13020074,Article,,2076-0760,matthew.phillips@curtin.edu.au,,,,,IT1D9,BIAS; INTERVIEW; STUDENTS; VALUES,2,SOC SCI-BASEL,Soc. Sci.-Basel,English,,54,gold,"Phillips, Matthew/0000-0001-7908-5868","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",FEB,21,BASEL,,,J,MDPI,2024,"Phillips, Matthew/IZP-7198-2023","Phillips, MJ (corresponding author), Curtin Univ, Fac Hlth Sci, Sch Populat Hlth, Discipline Psychol, Bentley 6102, Australia.",Social Sciences - Other Topics,,,SOCIAL SCIENCES-BASEL,,,1,"Empowering Undergraduate Women in Science, Technology, Engineering, Mathematics, and Medicine: Exploring Experiences, Fostering Motivation, and Advancing Gender Equity",1,3,WOS:001168483600001,13,,"Social Sciences, Interdisciplinary",Emerging Sources Citation Index (ESCI),1
"As anti-diversity, equity, and inclusion (DEI) legislation continues to gain traction, it is essential for those in science, technology, engineering, mathematics, and medicine (STEMM) to grasp its implications and explore ways to preserve inclusive environments. Anti-DEI measures can result in the dismantling of support structures, such as DEI centers and peer counseling groups, leading to a decline in vital support programs on college campuses and beyond. In this Voices article, we examine these emerging challenges and underscore the critical need to reframe DEI as a tool for fostering inclusion and benefits all individuals.","Kamalumpundi, Vijayvardhan Neikirk, Kit Mukaz, Debora Kamin Vue, Zer Vue, Neng Perales, Sulema Hinton, Antentor",0264,"Kamalumpundi, V Neikirk, K Mukaz, DK Vue, Z Vue, N Perales, S Hinton, A",,"[Kamalumpundi, Vijayvardhan; Perales, Sulema] Mayo Clin, Dept Internal Med, Rochester, MN 55905 USA. [Neikirk, Kit; Vue, Zer; Vue, Neng; Hinton, Antentor] Vanderbilt Univ, Dept Mol Physiol & Biophys, Nashville, TN 37232 USA. [Mukaz, Debora Kamin] Univ Vermont, Larner Coll Med, Dept Med, Burlington, VT 05405 USA.",Mayo Clinic; Vanderbilt University; University of Vermont,,,,,2025-01-19,,10.1091/mbc.E24-06-0264,Article,,1939-4586,antentor.o.hinton.jr@vanderbilt.edu,,,"UNCF/Bristol-Myers Squibb E.E. Just Faculty Fund; Career Award at the Scientific Interface (CASI Award) from Burroughs Welcome Fund (BWF) [1021868.01]; BWF Ad-hoc Award; NIH Small Research Pilot Sub-award from the National Institutes of Health PRIDE Program [5R25HL106365-12, DK020593]; Vanderbilt Diabetes and Research Training Center for DRTC Alzheimer's Disease Pilot & Feasibility Program; CZI Science Diversity Leadership from the Chan Zuckerberg Initiative DAF, an advised fund of Silicon Valley Community Foundation (AHJ) [2022-253529]","The UNCF/Bristol-Myers Squibb E.E. Just Faculty Fund, Career Award at the Scientific Interface (CASI Award) from Burroughs Welcome Fund (BWF) ID #1021868.01, BWF Ad-hoc Award, NIH Small Research Pilot Sub-award to 5R25HL106365-12 from the National Institutes of Health PRIDE Program, DK020593, Vanderbilt Diabetes and Research Training Center for DRTC Alzheimer's Disease Pilot & Feasibility Program. CZI Science Diversity Leadership grant number 2022-253529 from the Chan Zuckerberg Initiative DAF, an advised fund of Silicon Valley Community Foundation (AHJ) .",M1S3T,RACIAL MICROAGGRESSIONS; AFRICAN-AMERICAN; RACE; EXPERIENCES; STRATEGIES; BENEFITS; SCALE; SENSE; CARE,11,MOL BIOL CELL,Mol. Biol. Cell,English,,97,,,"8120 WOODMONT AVE, STE 750, BETHESDA, MD 20814-2755 USA",NOV 1,8,BETHESDA,39373728,,J,AMER SOC CELL BIOLOGY,2024,,"Hinton, A (corresponding author), Vanderbilt Univ, Dept Mol Physiol & Biophys, Nashville, TN 37232 USA.",Cell Biology,,1059-1524,MOLECULAR BIOLOGY OF THE CELL,,,0,"Diversity, equity, and inclusion in a polarized world: Navigating challenges and in STEMM",0,0,WOS:001355404200007,35,,Cell Biology,Science Citation Index Expanded (SCI-EXPANDED),0
"The United States is confronting important challenges at both the early and late stages of science education. At the level of K-12 education, a recent National Research Council report (Successful K-12 STEM Education) proposed a bold restructuring of how science is taught, moving away from memorizing facts and emphasizing hands-on, inquiry-based learning and a deeper understanding of the process of science. At higher levels of training, limited funding for science is leading PhDs to seek training and careers in areas other than research. Might science PhDs play a bigger role in the future of K-12 education, particularly at the high school level? We explore this question by discussing the roles that PhDs can play in high school education and the current and rather extensive barriers to PhDs entering the teaching profession and finally suggest ways to ease the entrance of qualified PhDs into high school education.","Doyle, Kari M. H. Vale, Ronald D.",,"Doyle, KMH Vale, RD",3292,"[Doyle, Kari M. H.] Bay Sch San Francisco, San Francisco, CA 94129 USA. [Vale, Ronald D.] Univ Calif San Francisco, Dept Cellular & Mol Pharmacol, San Francisco, CA 94158 USA. [Vale, Ronald D.] Univ Calif San Francisco, Howard Hughes Med Inst, San Francisco, CA 94158 USA.",University of California System; University of California San Francisco; University of California System; University of California San Francisco; Howard Hughes Medical Institute,,,,,2025-01-19,,10.1091/mbc.E13-08-0435,Article,,1939-4586,vale@cmp.ucsf.edu,3296,,Howard Hughes Medical Institute Funding Source: Medline,,267UR,,21,MOL BIOL CELL,Mol. Biol. Cell,English,,12,"hybrid, Green Published, Green Submitted",,"8120 WOODMONT AVE, STE 750, BETHESDA, MD 20814-2755 USA",NOV 1,5,BETHESDA,24174464,,J,AMER SOC CELL BIOLOGY,2013,,"Vale, RD (corresponding author), Univ Calif San Francisco, Dept Cellular & Mol Pharmacol, San Francisco, CA 94158 USA.",Cell Biology,,1059-1524,MOLECULAR BIOLOGY OF THE CELL,,,1,Creating opportunities for science PhDs to pursue careers in high school education,1,13,WOS:000328124300010,24,,Cell Biology,Science Citation Index Expanded (SCI-EXPANDED),2
